review_count,mean_error
1,0.8397733684796006
2,0.9086382528404137
3,0.8663911903408211
4,0.9110541706735438
5,0.8711368201071756
6,0.9204776661736624
7,0.7970175743103027
8,0.7595074672151256
9,0.8529674662484064
10,0.8745426194087879
11,0.8459971492940729
12,0.8254431476668705
13,0.8127573794585008
14,0.8699024610949638
15,0.804825034847966
16,0.8172122296832857
17,0.7875084082285563
18,0.7607947881850932
19,0.8802120914400178
20,0.8404704315794839
21,0.8281397258163129
22,0.7886832175832806
23,0.7775849184028716
24,0.8165215637647745
25,0.7507255114208569
26,0.8334306694649078
27,0.8149882469157623
28,0.7243856598460485
29,0.7825302409714666
30,0.778348145598457
31,0.7667317630783204
32,0.7007210571318865
33,0.8033952945238584
34,0.8173971694279341
35,0.7485534263035608
36,0.750471873415841
37,0.7463089391699002
38,0.752444864795673
39,0.7777796717353793
40,0.7284246241052945
41,0.7681364582277455
42,0.7392810706108336
43,0.7156190176034775
44,0.7647099603306163
45,0.7701743894153171
46,0.68392104077043
47,0.7608941520782228
48,0.7145864675442378
49,0.7044888284741616
50,0.8787014257907867
51,0.8446526192372141
52,0.6959988329655085
53,0.6974209340113514
54,0.7614805247417833
55,0.7043259119445627
56,0.7659323534795216
57,0.7794156407245229
58,0.7722154846919581
59,0.7332582606770898
60,0.769724311431249
61,0.712131353458203
62,0.7543639499013142
63,0.6647186153149479
64,0.7317039116751403
65,0.7821355966421274
66,0.6755321578029946
67,0.7243702625160786
68,0.8604713018034019
69,0.8087471118871716
70,0.7124956509045192
71,0.517454442843585
72,0.7343603763315413
73,0.7347365033136655
74,0.6618448898598954
75,0.7254431966145833
76,0.6388968825340271
77,0.8191148630984417
78,0.7631963136104437
79,0.7325048285697583
80,0.7590407960116863
81,0.6512780954808365
82,0.7400226476715832
83,0.7027621307526247
84,0.7179748032774244
85,0.7597184040967155
86,0.740552576706391
87,1.0644546884229813
88,0.7224960347468202
89,0.7371892137139031
90,0.615015117989646
91,0.7166924408940605
92,0.7647631566809572
93,0.7749357185056133
94,0.8523140321386621
95,0.6556198734986155
96,0.6627551006774107
97,0.75943524116503
98,0.7050467723486374
99,0.6872117374882554
100,0.8748783183097839
101,0.6796248065363063
102,0.8398295266955507
103,0.6274502242653115
104,0.6957818799293958
105,0.6677057955000135
106,0.71967332880452
107,0.7416607108071586
108,0.8545568750964271
109,0.6992637363048868
110,0.6723996156221861
111,0.7227312082105929
112,0.7489304821051302
113,0.7472664757815786
115,0.8063098396080127
116,0.7052771128457168
117,0.701715638664713
118,0.6949143840768243
119,0.8337283718819711
120,0.7342885527345869
121,0.6291772422711711
122,0.711005690449574
123,0.6743116630771295
124,0.7959310965191934
125,0.7447266082763672
126,0.735902382267846
129,0.7156170150722336
130,0.6594919929137597
131,0.6770007155323756
132,0.7736473842100664
134,0.7290568262783449
135,0.6335347537641172
136,0.7599243130169663
137,0.6633110359637406
139,0.6539644463170918
140,0.7675348997116089
141,0.7318721849022182
142,0.8058194800721648
143,0.7051208361045463
144,0.7524827304813597
145,0.7730955188027744
146,0.5869362378773624
147,0.5949075140920627
151,0.7632887458169697
152,0.6895730985622657
153,0.756373877618827
154,0.8309039179380838
155,0.5660432354096443
156,0.7141841325786088
157,0.754149274895471
158,0.8036762883391562
